update,steps,avg_return,win_rate,value_loss
71,2048,-27.310720443725586,1.0,0.6224740743637085
72,4096,-22.30048370361328,0.8333333333333333,1.6458842754364014
73,6144,-18.91152572631836,0.6222222222222221,1.3259491920471191
74,8192,-15.998466491699219,0.5916666666666666,0.29227134585380554
75,10240,-13.389949798583984,0.4733333333333333,0.11486130952835083
76,12288,-10.977624893188477,0.42333333333333334,0.271849662065506
77,14336,-9.009899139404297,0.29,0.12428790330886841
78,16384,-7.398595333099365,0.29,0.1555185765028
79,18432,-6.042642116546631,0.29,0.061474937945604324
71,2048,-27.112232208251953,0.5,2.812582015991211
72,4096,-22.279438018798828,0.75,1.4554755687713623
73,6144,-18.745952606201172,0.6904761904761904,1.3832247257232666
74,8192,-15.763246536254883,0.5803571428571428,0.3416316509246826
75,10240,-12.997962951660156,0.5842857142857143,0.4305877089500427
76,12288,-10.77149486541748,0.48428571428571426,0.03891170769929886
77,14336,-8.805015563964844,0.33428571428571424,0.1628398299217224
78,16384,-7.326562881469727,0.27,0.12658508121967316
79,18432,-5.966438293457031,0.35333333333333333,0.11906816065311432
80,20480,-5.054170608520508,0.3133333333333333,0.07398346066474915
81,2048,-4.280526161193848,0.5,0.04763556644320488
82,4096,-3.5183160305023193,0.3333333333333333,0.05817030370235443
83,6144,-2.987410068511963,0.47222222222222215,0.05306117609143257
84,8192,-2.54524564743042,0.5416666666666666,0.0402379184961319
85,10240,-2.214343547821045,0.6333333333333333,0.030756419524550438
86,12288,-1.875369906425476,0.8,0.01380566880106926
87,14336,-1.5822526216506958,0.9,0.025458132848143578
88,16384,-1.2993183135986328,0.8380952380952381,0.012682100757956505
89,18432,-1.1013506650924683,0.8369047619047619,0.025469504296779633
90,20480,-0.9492231607437134,0.7838095238095238,0.037763264030218124
91,2048,-0.8406240940093994,0.25,0.00845765694975853
92,4096,-0.6916511058807373,0.25,0.0006992419948801398
93,6144,-0.5749590396881104,0.25,0.0008116639219224453
94,8192,-0.4690060615539551,0.625,0.0008763106307014823
95,10240,-0.3974461555480957,0.4166666666666667,0.000700994161888957
96,12288,-0.3355741798877716,0.3125,0.0002303825312992558
97,14336,-0.28541839122772217,0.45,0.00019355377298779786
98,16384,-0.24175073206424713,0.45,0.00013724139716941863
99,18432,-0.19684787094593048,0.45,0.0002270536351716146
100,20480,-0.17839454114437103,0.45,0.00019303863518871367
101,22528,-0.15231862664222717,0.45,0.00038180407136678696
102,24576,-0.14197789132595062,0.6,0.012157365679740906
103,26624,-0.12328343093395233,0.6,0.001225640531629324
104,28672,-0.1306324601173401,0.6,0.00048579665599390864
105,30720,-0.11620359122753143,0.5,0.00011495771468617022
106,32768,-0.0793938934803009,0.5,0.00028111733263358474
107,34816,-0.07117035984992981,0.5,0.00014054961502552032
108,36864,-0.06563931703567505,0.5,0.0001122497851611115
109,38912,-0.055675335228443146,0.5,8.17707332316786e-05
110,40960,-0.03288481757044792,0.5,0.00010908916010521352
111,43008,-0.02306349016726017,0.5,0.0002595879486761987
112,45056,0.004735213238745928,0.5,0.0010473730508238077
113,47104,-0.020597299560904503,0.5,0.00022155701299197972
114,49152,-0.01852301135659218,0.5,0.0003471040981821716
115,51200,-0.02044256031513214,0.7,0.00024458838743157685
116,53248,-0.01721278578042984,0.0,0.00023191636137198657
117,55296,0.004966149106621742,0.0,0.00028470309916883707
118,57344,-0.004755954258143902,0.0,0.0003692719037644565
119,59392,-0.002460345160216093,0.0,0.0003383068251423538
120,61440,0.01149248331785202,0.0,0.0009680753573775291
121,63488,0.021619761362671852,0.0,0.0003750949981622398
122,65536,0.03006901778280735,0.0,0.0001665772288106382
123,67584,0.03924005851149559,0.0,0.00021972786635160446
124,69632,0.017031239345669746,0.0,0.0007656425004824996
125,71680,-0.01271058525890112,0.0,0.00010297436529072002
126,73728,-0.00462879054248333,0.0,0.00019568693824112415
127,75776,0.0010623633861541748,0.0,0.00015646370593458414
128,77824,0.0019348894711583853,0.0,0.00014831079170107841
129,79872,-0.008050939068198204,0.0,0.00013111685984767973
130,81920,-0.01608264446258545,0.0,0.0005130195058882236
131,83968,-0.024471532553434372,0.0,9.418653644388542e-05
132,86016,-0.014913294464349747,0.0,0.00016937660984694958
133,88064,-0.022025831043720245,0.0,0.00034531595883890986
134,90112,-0.021507302299141884,0.0,0.0010635508224368095
135,92160,0.0188334658741951,0.0,0.00036173732951283455
136,94208,0.005239780060946941,0.0,0.00022652759798802435
137,96256,0.0037962545175105333,0.0,0.00024188887618947774
138,98304,0.008658764883875847,0.0,0.00020343420328572392
139,100352,0.011487701907753944,0.0,0.00016356291598640382
140,102400,0.02177589200437069,0.0,0.000126776285469532
141,104448,0.01312125101685524,0.0,0.00031869462691247463
142,106496,-0.006124699488282204,0.0,0.00010820283932844177
