update,steps,avg_return,win_rate,value_loss,entropy
1,2048,-0.516224205493927,1.0,0.0037279073148965836,4.07318639755249
2,4096,-0.49653851985931396,0.75,0.003592914901673794,4.0906572341918945
3,6144,-0.4862533509731293,0.6333333333333333,0.00371847627684474,4.08537483215332
4,8192,-0.4879188537597656,0.675,0.006261732429265976,4.080045700073242
5,10240,-0.44403764605522156,0.7,0.00561981275677681,4.076862812042236
6,12288,-0.43831583857536316,0.7,0.004563936032354832,4.0931806564331055
7,14336,-0.42588910460472107,0.7333333333333334,0.006086033768951893,4.104355812072754
8,16384,-0.4051169753074646,0.8133333333333332,0.004713074304163456,4.09373140335083
9,18432,-0.42349737882614136,0.8247619047619047,0.005025739781558514,4.101734638214111
10,20480,-0.39072516560554504,0.8647619047619047,0.005792560521513224,4.109070777893066
11,22528,-0.3754151463508606,0.8314285714285715,0.005637582391500473,4.110733985900879
12,24576,-0.34251779317855835,0.8980952380952381,0.007769718300551176,4.119532585144043
13,26624,-0.3299063444137573,0.9047619047619048,0.004032439552247524,4.113570213317871
14,28672,-0.3485518991947174,0.9333333333333333,0.005301302298903465,4.12252950668335
15,30720,-0.3383495509624481,0.8476190476190476,0.004844830371439457,4.11436653137207
16,32768,-0.32708466053009033,0.880952380952381,0.005495585035532713,4.11713981628418
17,34816,-0.33001023530960083,0.880952380952381,0.004457094706594944,4.117481708526611
18,36864,-0.32641005516052246,0.9142857142857143,0.007714240811765194,4.114840030670166
19,38912,-0.32191601395606995,0.9142857142857143,0.11218183487653732,4.11362361907959
20,40960,-0.31818774342536926,1.0,0.10914847254753113,4.10915470123291
21,43008,-0.31648018956184387,0.9777777777777779,0.006202217191457748,4.118183135986328
22,45056,-0.3293526768684387,0.9444444444444444,0.00626716110855341,4.124768257141113
23,47104,-0.34663882851600647,0.8444444444444444,0.10828744620084763,4.129576683044434
24,49152,-0.35073643922805786,0.8444444444444444,0.11001250892877579,4.123141288757324
25,51200,-0.34691691398620605,0.8158730158730159,0.004884744994342327,4.127518177032471
26,53248,-0.3528995215892792,0.780952380952381,0.004552054684609175,4.125284194946289
27,55296,-0.34183573722839355,0.8142857142857143,0.007143204100430012,4.119370460510254
28,57344,-0.336457759141922,0.8892857142857142,0.10621527582406998,4.123342514038086
29,59392,-0.3343076705932617,0.8892857142857142,0.006256788037717342,4.121646881103516
30,61440,-0.3450896441936493,0.9178571428571429,0.005472877062857151,4.114683151245117
