update,steps,avg_return,win_rate,value_loss
1,2048,-0.16799452900886536,0.0,0.01978291943669319
2,4096,-0.07606646418571472,0.0,0.0010868723038583994
3,6144,2.4200544357299805,0.3333333333333333,19.18093490600586
4,8192,1.7584784030914307,0.3333333333333333,67.43572998046875
5,10240,-3.0775861740112305,0.5555555555555555,62.34016799926758
6,12288,0.5080217123031616,0.6666666666666666,92.98409271240234
7,14336,-0.47056055068969727,0.7333333333333333,69.05328369140625
8,16384,-7.8832106590271,1.0,23.76006317138672
9,18432,-2.1796603202819824,0.6666666666666666,61.77096939086914
10,20480,-7.636434078216553,0.7777777777777778,188.66127014160156
1,2048,-3.206129550933838,0.0,0.003482772968709469
2,4096,-2.6500496864318848,0.0,0.001217409735545516
3,6144,-2.318418502807617,1.0,0.040734320878982544
4,8192,-2.001476526260376,1.0,0.446659117937088
5,10240,-0.6090205907821655,1.0,6.821948051452637
6,12288,2.0363411903381348,1.0,24.078697204589844
7,14336,5.928244590759277,1.0,49.352291107177734
8,16384,14.312546730041504,1.0,89.86202239990234
9,18432,8.376411437988281,1.0,70.12332916259766
10,20480,4.7965497970581055,0.0,20.720966339111328
11,22528,-4.745075225830078,0.5,35.47480010986328
12,24576,-14.594823837280273,0.3333333333333333,74.10546875
13,26624,-18.80476188659668,0.41666666666666663,117.82414245605469
14,28672,-23.566190719604492,0.5333333333333333,37.42033004760742
15,30720,-23.30389976501465,0.6833333333333333,137.24609375
16,32768,-25.21322250366211,0.0,52.427894592285156
17,34816,-23.361562728881836,0.0,108.61563110351562
18,36864,-24.8603515625,0.5,98.86370086669922
19,38912,-28.82486915588379,0.5555555555555555,75.18849182128906
20,40960,-27.698097229003906,0.5555555555555555,65.47842407226562
21,43008,-28.48058319091797,0.5416666666666666,41.81194305419922
22,45056,-44.00518798828125,0.5416666666666666,152.09365844726562
23,47104,-48.49553680419922,0.5333333333333333,95.04158020019531
24,49152,-48.44740295410156,0.5333333333333333,112.02732849121094
25,51200,-48.031558990478516,0.4333333333333333,74.83981323242188
26,53248,-54.76171875,0.3,20.11943817138672
27,55296,-65.50970458984375,0.2,21.161266326904297
28,57344,-64.38534545898438,0.2,33.39060592651367
29,59392,-67.61250305175781,0.1,14.478473663330078
30,61440,-65.79940795898438,0.1,40.46752166748047
31,63488,-58.10675811767578,0.3,91.36557006835938
32,65536,-50.036293029785156,0.3,66.09304809570312
33,67584,-42.99247741699219,0.4,92.31201171875
34,69632,-38.66758728027344,0.4,129.86167907714844
35,71680,-32.69041442871094,0.5,76.79803466796875
36,73728,-28.43290138244629,0.7,78.52146911621094
37,75776,-38.11249923706055,1.0,62.22224426269531
38,77824,-44.99531936645508,0.5,73.81529998779297
39,79872,-41.566097259521484,0.5,57.284568786621094
40,81920,-47.34218978881836,0.625,46.74315643310547
41,83968,-42.30667495727539,0.5666666666666667,31.731983184814453
42,86016,-38.901695251464844,0.4666666666666667,21.92608642578125
43,88064,-31.713973999023438,0.4666666666666667,23.935291290283203
44,90112,-27.46460723876953,0.36666666666666664,150.50674438476562
45,92160,-18.397666931152344,0.3,42.66129684448242
46,94208,-11.94251537322998,0.3,68.79280090332031
47,96256,-10.03406810760498,0.3333333333333333,177.08847045898438
48,98304,-12.714599609375,0.3333333333333333,150.05941772460938
49,100352,-16.720041275024414,0.3333333333333333,86.66840362548828
50,102400,-20.493343353271484,0.3333333333333333,37.98021697998047
51,104448,-14.216545104980469,0.4833333333333333,155.19317626953125
52,106496,-11.33525562286377,0.4833333333333333,237.94876098632812
53,108544,-22.754648208618164,0.3833333333333333,62.07383346557617
54,110592,-25.423099517822266,0.2833333333333333,49.894893646240234
55,112640,-29.83470916748047,0.3833333333333333,128.66940307617188
56,114688,-36.682708740234375,0.2333333333333333,88.96566772460938
57,116736,-35.74601745605469,0.1,61.46771240234375
58,118784,-29.211124420166016,0.2333333333333333,85.56178283691406
59,120832,-17.937538146972656,0.4333333333333333,94.51097106933594
60,122880,-16.371997833251953,0.5333333333333333,129.64877319335938
61,124928,-20.21347427368164,0.6666666666666666,152.3553009033203
62,126976,-38.41738510131836,0.0,148.48147583007812
63,129024,-37.7216682434082,0.0,201.29241943359375
64,131072,-46.179237365722656,0.16666666666666666,84.18577575683594
65,133120,-45.48899459838867,0.25,129.33233642578125
66,135168,-44.49128341674805,0.25,40.48060607910156
67,137216,-46.747779846191406,0.25,11.828540802001953
68,139264,-45.38170623779297,0.4,5.715190887451172
69,141312,-40.03119659423828,0.55,82.2333984375
70,143360,-27.18950843811035,0.55,73.64409637451172
