update,steps,avg_return,win_rate,value_loss
201,2048,-0.03694991022348404,0.0,0.003454785794019699
202,4096,-0.07298034429550171,0.75,0.01668214611709118
203,6144,-0.09667176008224487,0.875,0.004067461937665939
204,8192,-0.11724813282489777,0.6944444444444445,0.003185881767421961
205,10240,-0.14428895711898804,0.6875,0.003990137949585915
206,12288,-0.15500663220882416,0.7,0.0037772166542708874
207,14336,-0.18828345835208893,0.6666666666666666,0.016500892117619514
208,16384,-0.20141494274139404,0.6666666666666666,0.006919466890394688
209,18432,-0.23721615970134735,0.7777777777777777,0.017363889142870903
210,20480,-0.2504514455795288,0.8333333333333333,0.003974180668592453
211,22528,-0.24391479790210724,0.7333333333333333,0.003459981409832835
212,24576,-0.2520609200000763,0.75,0.006563815288245678
213,26624,-0.2618538737297058,0.625,0.00341210700571537
214,28672,-0.2559019923210144,0.5277777777777778,0.0166938416659832
215,30720,-0.27069583535194397,0.47916666666666663,0.003572623711079359
216,32768,-0.295430451631546,0.5833333333333333,0.00400896230712533
217,34816,-0.27315014600753784,0.5,0.005502802785485983
218,36864,-0.28944236040115356,0.45,0.005661696195602417
219,38912,-0.2703041434288025,0.4833333333333333,0.0028724640142172575
220,40960,-0.28645622730255127,0.5666666666666667,0.0036352137103676796
221,43008,-0.29399335384368896,0.36666666666666664,0.00368876033462584
222,45056,-0.30595362186431885,0.4,0.003291047178208828
223,47104,-0.289514422416687,0.5,0.00421627052128315
224,49152,-0.2896825671195984,0.4,0.0034127850085496902
225,51200,-0.28187549114227295,0.3833333333333333,0.00399344228208065
226,53248,-0.2796942889690399,0.5833333333333333,0.004245134070515633
227,55296,-0.31020259857177734,0.6833333333333333,0.016816791146993637
228,57344,-0.30925822257995605,0.75,0.004610500298440456
229,59392,-0.30779197812080383,0.7083333333333333,0.005868433974683285
230,61440,-0.28506264090538025,0.8055555555555555,0.004426412284374237
231,63488,-0.3052549958229065,0.8541666666666666,0.003996019251644611
232,65536,-0.2899289131164551,0.7833333333333333,0.004514682572335005
233,67584,-0.2899656891822815,0.3333333333333333,0.003767666406929493
234,69632,-0.2814074754714966,0.5,0.004041686188429594
235,71680,-0.29010531306266785,0.4166666666666667,0.019237780943512917
236,73728,-0.27141618728637695,0.375,0.004563314840197563
237,75776,-0.2631830871105194,0.4333333333333333,0.004370585549622774
238,77824,-0.25146356225013733,0.5166666666666666,0.017110660672187805
239,79872,-0.2507111430168152,0.5333333333333333,0.0034108899999409914
240,81920,-0.25147420167922974,0.6833333333333333,0.017022041603922844
241,83968,-0.23194530606269836,0.75,0.016469448804855347
242,86016,-0.24225585162639618,0.625,0.005645073018968105
243,88064,-0.25057655572891235,0.5833333333333334,0.004940253682434559
244,90112,-0.24672186374664307,0.6875,0.004167539067566395
245,92160,-0.2403535693883896,0.65,0.004688197281211615
246,94208,-0.26047492027282715,1.0,0.017544090747833252
247,96256,-0.26379507780075073,0.875,0.018120843917131424
248,98304,-0.26866620779037476,0.75,0.004007015842944384
249,100352,-0.28092098236083984,0.8125,0.0049414075911045074
250,102400,-0.2702450752258301,0.7833333333333333,0.003930205944925547
251,104448,-0.25984740257263184,0.6666666666666666,0.003603645134717226
252,106496,-0.22932864725589752,0.6666666666666666,0.004211702384054661
253,108544,-0.23318007588386536,0.7777777777777777,0.030773408710956573
254,110592,-0.23954512178897858,0.7083333333333333,0.030194465070962906
255,112640,-0.24098777770996094,0.6166666666666666,0.0034699535463005304
256,114688,-0.2387363761663437,0.5,0.004900726024061441
257,116736,-0.24258549511432648,0.5,0.004113250412046909
258,118784,-0.25104013085365295,0.4166666666666667,0.006321814842522144
259,120832,-0.23975726962089539,0.375,0.006452715955674648
260,122880,-0.2539130449295044,0.3,0.0042329225689172745
261,124928,-0.24969270825386047,0.35,0.006850695237517357
262,126976,-0.25848329067230225,0.31666666666666665,0.003832045942544937
263,129024,-0.2655177712440491,0.36666666666666664,0.009384216740727425
264,131072,-0.2567722797393799,0.43666666666666665,0.004866930656135082
265,133120,-0.2972036302089691,0.5033333333333333,0.005947052501142025
266,135168,-0.31067752838134766,0.5133333333333333,0.017980309203267097
267,137216,-0.3252657949924469,0.44666666666666666,0.00423505250364542
268,139264,-0.31885412335395813,0.44666666666666666,0.016385529190301895
269,141312,-0.3089445233345032,0.4766666666666667,0.004458209499716759
270,143360,-0.2991633415222168,0.45999999999999996,0.004824729636311531
